"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0019362","GO:0019362","pyridine nucleotide metabolic process",24,0.481614034864017,1.71472129903489,0.00775623268698061,0.222098214285714,0.198543233082707,911,"tags=71%, list=28%, signal=52%","PF3D7_1324900/PF3D7_1214900/PF3D7_1015900/PF3D7_1462800/PF3D7_0922500/PF3D7_0514600/PF3D7_0629100/PF3D7_1120100/PF3D7_1453800/PF3D7_0626800/PF3D7_1436000/PF3D7_1439900/PF3D7_0610800/PF3D7_1021600/PF3D7_1454700/PF3D7_1444800/PF3D7_0624000"
"GO:0046496","GO:0046496","nicotinamide nucleotide metabolic process",24,0.481614034864017,1.71472129903489,0.00775623268698061,0.222098214285714,0.198543233082707,911,"tags=71%, list=28%, signal=52%","PF3D7_1324900/PF3D7_1214900/PF3D7_1015900/PF3D7_1462800/PF3D7_0922500/PF3D7_0514600/PF3D7_0629100/PF3D7_1120100/PF3D7_1453800/PF3D7_0626800/PF3D7_1436000/PF3D7_1439900/PF3D7_0610800/PF3D7_1021600/PF3D7_1454700/PF3D7_1444800/PF3D7_0624000"
"GO:0072524","GO:0072524","pyridine-containing compound metabolic process",26,0.47165889050262,1.72105536818462,0.00818713450292398,0.222098214285714,0.198543233082707,911,"tags=69%, list=28%, signal=50%","PF3D7_1324900/PF3D7_1214900/PF3D7_1015900/PF3D7_1462800/PF3D7_0922500/PF3D7_0621200/PF3D7_0514600/PF3D7_0629100/PF3D7_1120100/PF3D7_1453800/PF3D7_0626800/PF3D7_1436000/PF3D7_1439900/PF3D7_0610800/PF3D7_1021600/PF3D7_1454700/PF3D7_1444800/PF3D7_0624000"
"GO:0010033","GO:0010033","response to organic substance",34,0.415009983101875,1.62450120046034,0.00860832137733142,0.222098214285714,0.198543233082707,765,"tags=44%, list=23%, signal=34%","PF3D7_1015600/PF3D7_0422800/PF3D7_1118200/PF3D7_0314200/PF3D7_1134000/PF3D7_1203900/PF3D7_0708400/PF3D7_0708500/PF3D7_1304500/PF3D7_1215300/PF3D7_0818900/PF3D7_0313100/PF3D7_0213100/PF3D7_1468500/PF3D7_1466100"
"GO:0055086","GO:0055086","nucleobase-containing small molecule metabolic process",78,0.312465045786304,1.46480922048237,0.00892857142857143,0.222098214285714,0.198543233082707,911,"tags=50%, list=28%, signal=37%","PF3D7_1360500/PF3D7_1012400/PF3D7_1324900/PF3D7_1214900/PF3D7_1015900/PF3D7_1462800/PF3D7_1127100/PF3D7_0513300/PF3D7_1108500/PF3D7_0603300/PF3D7_1366500/PF3D7_0922500/PF3D7_1029600/PF3D7_1350100/PF3D7_0514600/PF3D7_1251300/PF3D7_0920800/PF3D7_0704700/PF3D7_0629100/PF3D7_1023200/PF3D7_1308200/PF3D7_1120100/PF3D7_1405600/PF3D7_1453800/PF3D7_1017400/PF3D7_0626800/PF3D7_1327800/PF3D7_1436000/PF3D7_1439900/PF3D7_0610800/PF3D7_1420600/PF3D7_0801800/PF3D7_1235700/PF3D7_1021600/PF3D7_1454700/PF3D7_0512700/PF3D7_0406100/PF3D7_1444800/PF3D7_0624000"
"GO:0006986","GO:0006986","response to unfolded protein",14,0.596278487050469,1.79694131928293,0.0107615894039735,0.237950699043414,0.21271445722474,673,"tags=64%, list=20%, signal=51%","PF3D7_1015600/PF3D7_1118200/PF3D7_1134000/PF3D7_0708400/PF3D7_0708500/PF3D7_1304500/PF3D7_1215300/PF3D7_0818900/PF3D7_0213100"
"GO:0035966","GO:0035966","response to topologically incorrect protein",14,0.596278487050469,1.79694131928293,0.0107615894039735,0.237950699043414,0.21271445722474,673,"tags=64%, list=20%, signal=51%","PF3D7_1015600/PF3D7_1118200/PF3D7_1134000/PF3D7_0708400/PF3D7_0708500/PF3D7_1304500/PF3D7_1215300/PF3D7_0818900/PF3D7_0213100"
"GO:0009141","GO:0009141","nucleoside triphosphate metabolic process",32,0.406462027572924,1.57350029698762,0.0122365737593474,0.256324018748435,0.229139165133486,968,"tags=53%, list=29%, signal=38%","PF3D7_1324900/PF3D7_1214900/PF3D7_1015900/PF3D7_1462800/PF3D7_1127100/PF3D7_1366500/PF3D7_0922500/PF3D7_1251300/PF3D7_1120100/PF3D7_0626800/PF3D7_1436000/PF3D7_1439900/PF3D7_1235700/PF3D7_0406100/PF3D7_1444800/PF3D7_0624000/PF3D7_1464700"
"GO:0006091","GO:0006091","generation of precursor metabolites and energy",41,0.376395140313314,1.54834448053988,0.0133891213389121,0.266443514644351,0.238185421713279,744,"tags=41%, list=23%, signal=32%","mal_mito_1/mal_mito_3/mal_mito_2/PF3D7_1324900/PF3D7_1214900/PF3D7_1015900/PF3D7_1462800/PF3D7_1034400/PF3D7_1108500/PF3D7_0922500/PF3D7_0618500/PF3D7_1147400/PF3D7_1120100/PF3D7_1320800/PF3D7_0626800/PF3D7_1436000/PF3D7_1439900"
"GO:0051701","GO:0051701","interaction with host",65,-0.466173158930952,-1.46089776093927,0.0145348837209302,0.268918918918919,0.240398293029872,592,"tags=35%, list=18%, signal=30%","PF3D7_0412700/PF3D7_1133400/PF3D7_0905400/PF3D7_0712000/PF3D7_0712900/PF3D7_1335100/PF3D7_1035700/PF3D7_1436300/PF3D7_0731500/PF3D7_1252100/PF3D7_1337800/PF3D7_0423400/PF3D7_0711700/PF3D7_0424100/PF3D7_0424200/PF3D7_1243900/PF3D7_1027300/PF3D7_1035400/PF3D7_0528400/PF3D7_0818600/PF3D7_1458000/PF3D7_0316000/PF3D7_0617400"
"GO:0009117","GO:0009117","nucleotide metabolic process",63,0.312863349992873,1.39940222446888,0.0148648648648649,0.268918918918919,0.240398293029872,911,"tags=49%, list=28%, signal=36%","PF3D7_1360500/PF3D7_1324900/PF3D7_1214900/PF3D7_1015900/PF3D7_1462800/PF3D7_1127100/PF3D7_1108500/PF3D7_0603300/PF3D7_1366500/PF3D7_0922500/PF3D7_1350100/PF3D7_0514600/PF3D7_1251300/PF3D7_0920800/PF3D7_0704700/PF3D7_0629100/PF3D7_1023200/PF3D7_1120100/PF3D7_1453800/PF3D7_0626800/PF3D7_1327800/PF3D7_1436000/PF3D7_1439900/PF3D7_0610800/PF3D7_1420600/PF3D7_1235700/PF3D7_1021600/PF3D7_1454700/PF3D7_0406100/PF3D7_1444800/PF3D7_0624000"
"GO:0043543","GO:0043543","protein acylation",15,-0.650142256920756,-1.59300408802824,0.0161837640302793,0.271761073506709,0.242939018368865,392,"tags=47%, list=12%, signal=41%","PF3D7_1322500/PF3D7_0628600/PF3D7_1321400/PF3D7_1115900/PF3D7_1412800/PF3D7_0528400/PF3D7_0303400"
"GO:0016051","GO:0016051","carbohydrate biosynthetic process",10,0.653149162073678,1.76453389700842,0.0163876024225151,0.271761073506709,0.242939018368865,744,"tags=70%, list=23%, signal=54%","PF3D7_1015900/PF3D7_1462800/PF3D7_1342800/PF3D7_1025100/PF3D7_1017400/PF3D7_1436000/PF3D7_1439900"
"GO:0009124","GO:0009124","nucleoside monophosphate biosynthetic process",28,0.427847910638198,1.59220278278296,0.0203829524397776,0.305273250239693,0.27289700761972,968,"tags=54%, list=29%, signal=38%","PF3D7_1324900/PF3D7_1214900/PF3D7_1015900/PF3D7_1462800/PF3D7_0603300/PF3D7_0922500/PF3D7_1029600/PF3D7_1120100/PF3D7_0626800/PF3D7_1436000/PF3D7_1439900/PF3D7_1235700/PF3D7_1444800/PF3D7_0624000/PF3D7_1464700"
"GO:0034404","GO:0034404","nucleobase-containing small molecule biosynthetic process",23,0.457453920399475,1.60539157570962,0.0211841390548615,0.305273250239693,0.27289700761972,911,"tags=65%, list=28%, signal=47%","PF3D7_1012400/PF3D7_1324900/PF3D7_1214900/PF3D7_1015900/PF3D7_1462800/PF3D7_0603300/PF3D7_1366500/PF3D7_0922500/PF3D7_1120100/PF3D7_0626800/PF3D7_1436000/PF3D7_1439900/PF3D7_1021600/PF3D7_1444800/PF3D7_0624000"
"GO:0009142","GO:0009142","nucleoside triphosphate biosynthetic process",25,0.447982414904468,1.61874120129324,0.0229306487695749,0.305273250239693,0.27289700761972,968,"tags=60%, list=29%, signal=43%","PF3D7_1324900/PF3D7_1214900/PF3D7_1015900/PF3D7_1462800/PF3D7_1366500/PF3D7_0922500/PF3D7_1251300/PF3D7_1120100/PF3D7_0626800/PF3D7_1436000/PF3D7_1439900/PF3D7_1235700/PF3D7_1444800/PF3D7_0624000/PF3D7_1464700"
"GO:0009156","GO:0009156","ribonucleoside monophosphate biosynthetic process",27,0.435739814023572,1.60522825827954,0.0239664469742361,0.305273250239693,0.27289700761972,968,"tags=56%, list=29%, signal=40%","PF3D7_1324900/PF3D7_1214900/PF3D7_1015900/PF3D7_1462800/PF3D7_0603300/PF3D7_0922500/PF3D7_1029600/PF3D7_1120100/PF3D7_0626800/PF3D7_1436000/PF3D7_1439900/PF3D7_1235700/PF3D7_1444800/PF3D7_0624000/PF3D7_1464700"
"GO:0007059","GO:0007059","chromosome segregation",11,-0.672246340927134,-1.53868705670897,0.0248396342295619,0.305273250239693,0.27289700761972,604,"tags=55%, list=18%, signal=45%","PF3D7_1456500/PF3D7_1304000/PF3D7_1318400/PF3D7_1123800/PF3D7_0826900/PF3D7_1333700"
"GO:0061024","GO:0061024","membrane organization",16,-0.619670423792356,-1.53672858362504,0.0252361848065226,0.305273250239693,0.27289700761972,623,"tags=50%, list=19%, signal=41%","PF3D7_1439800/PF3D7_0210700/PF3D7_1324700/PF3D7_1243000/PF3D7_1448600/PF3D7_1022700/PF3D7_1432000/PF3D7_0530100"
"GO:0009132","GO:0009132","nucleoside diphosphate metabolic process",19,0.486203451801879,1.61179806662225,0.025849688846338,0.305273250239693,0.27289700761972,911,"tags=74%, list=28%, signal=54%","PF3D7_1324900/PF3D7_1214900/PF3D7_1015900/PF3D7_1462800/PF3D7_1366500/PF3D7_0922500/PF3D7_1251300/PF3D7_1120100/PF3D7_1405600/PF3D7_0626800/PF3D7_1436000/PF3D7_1439900/PF3D7_1444800/PF3D7_0624000"
"GO:0006869","GO:0006869","lipid transport",11,-0.670303085613563,-1.53423919047775,0.0260679677903644,0.305273250239693,0.27289700761972,620,"tags=64%, list=19%, signal=52%","PF3D7_0104200/PF3D7_0401900/PF3D7_0319000/PF3D7_1138400/PF3D7_0215300/PF3D7_0920700/PF3D7_0216800"
"GO:0010876","GO:0010876","lipid localization",11,-0.670303085613563,-1.53423919047775,0.0260679677903644,0.305273250239693,0.27289700761972,620,"tags=64%, list=19%, signal=52%","PF3D7_0104200/PF3D7_0401900/PF3D7_0319000/PF3D7_1138400/PF3D7_0215300/PF3D7_0920700/PF3D7_0216800"
"GO:0005975","GO:0005975","carbohydrate metabolic process",33,0.382498738624118,1.48726171186415,0.0266666666666667,0.305273250239693,0.27289700761972,911,"tags=61%, list=28%, signal=44%","PF3D7_1324900/PF3D7_1214900/PF3D7_1015900/PF3D7_1462800/PF3D7_1342800/PF3D7_0619500/PF3D7_1033400/PF3D7_0922500/PF3D7_1012500/PF3D7_0618500/PF3D7_1025100/PF3D7_1120100/PF3D7_1453800/PF3D7_1017400/PF3D7_0626800/PF3D7_1436000/PF3D7_1439900/PF3D7_0801800/PF3D7_1444800/PF3D7_0624000"
"GO:0006733","GO:0006733","oxidoreduction coenzyme metabolic process",25,0.442225437344503,1.59793891874556,0.0268456375838926,0.305273250239693,0.27289700761972,911,"tags=68%, list=28%, signal=50%","PF3D7_1324900/PF3D7_1214900/PF3D7_1015900/PF3D7_1462800/PF3D7_0922500/PF3D7_0514600/PF3D7_0629100/PF3D7_1120100/PF3D7_1453800/PF3D7_0626800/PF3D7_1436000/PF3D7_1439900/PF3D7_0610800/PF3D7_1021600/PF3D7_1454700/PF3D7_1444800/PF3D7_0624000"
"GO:0006412","GO:0006412","translation",212,0.289704816249536,1.57551577086339,0.0277777777777778,0.307029986313301,0.274467430240401,620,"tags=34%, list=19%, signal=29%","PF3D7_0312800/PF3D7_1341300/PF3D7_1310900/PF3D7_1428600/PF3D7_1424100/PF3D7_0219200/PF3D7_1245400/PF3D7_0611700/PF3D7_0306900/PF3D7_0516200/PF3D7_1357200/PF3D7_0307100/PF3D7_1351400/PF3D7_0519400/PF3D7_1034200/PF3D7_1105400/PF3D7_1402500/PF3D7_0602000/PF3D7_0217800/PF3D7_0319600/PF3D7_1331800/PF3D7_0705700/PF3D7_0304400/PF3D7_1242700/PF3D7_0628800/PF3D7_0516900/PF3D7_1426000/PF3D7_1424400/PF3D7_1431700/PF3D7_1019400/PF3D7_0825200/PF3D7_0309600/PF3D7_1126200/PF3D7_0102900/PF3D7_1460300/PF3D7_1420400/PF3D7_0813900/PF3D7_1465900/PF3D7_1357000/PF3D7_1026800/PF3D7_1110600/PF3D7_1421200/PF3D7_1350100/PF3D7_1341200/PF3D7_1124900/PF3D7_1132700/PF3D7_1410600/PF3D7_1461900/PF3D7_1121700/PF3D7_1142500/PF3D7_0316800/PF3D7_0706400/PF3D7_1308300/PF3D7_0422400/PF3D7_1408600/PF3D7_0618300/PF3D7_0520000/PF3D7_1461300/PF3D7_1468700/PF3D7_1317800/PF3D7_1441200/PF3D7_0613400/PF3D7_1414300/PF3D7_0422700/PF3D7_0918300/PF3D7_1004000/PF3D7_1137500/PF3D7_0322900/PF3D7_0903900/PF3D7_1302800/PF3D7_0317600/PF3D7_1349200"
"GO:0043043","GO:0043043","peptide biosynthetic process",215,0.291021771954496,1.58239542119404,0.0285714285714286,0.307029986313301,0.274467430240401,620,"tags=34%, list=19%, signal=29%","PF3D7_0312800/PF3D7_1341300/PF3D7_1310900/PF3D7_1428600/PF3D7_1424100/PF3D7_0219200/PF3D7_1245400/PF3D7_0611700/PF3D7_0306900/PF3D7_0516200/PF3D7_1357200/PF3D7_0307100/PF3D7_1351400/PF3D7_0519400/PF3D7_1034200/PF3D7_1105400/PF3D7_1402500/PF3D7_0602000/PF3D7_0217800/PF3D7_0319600/PF3D7_1331800/PF3D7_0705700/PF3D7_0304400/PF3D7_1242700/PF3D7_0628800/PF3D7_0516900/PF3D7_1426000/PF3D7_1424400/PF3D7_1431700/PF3D7_1019400/PF3D7_0825200/PF3D7_0309600/PF3D7_1126200/PF3D7_0102900/PF3D7_1460300/PF3D7_1420400/PF3D7_0813900/PF3D7_1465900/PF3D7_1357000/PF3D7_1026800/PF3D7_1110600/PF3D7_1421200/PF3D7_1350100/PF3D7_1341200/PF3D7_1124900/PF3D7_1132700/PF3D7_1410600/PF3D7_1461900/PF3D7_1121700/PF3D7_1142500/PF3D7_0316800/PF3D7_0706400/PF3D7_1308300/PF3D7_0422400/PF3D7_1408600/PF3D7_0618300/PF3D7_0520000/PF3D7_1461300/PF3D7_1468700/PF3D7_1317800/PF3D7_1441200/PF3D7_0613400/PF3D7_1414300/PF3D7_0422700/PF3D7_0406400/PF3D7_0918300/PF3D7_1004000/PF3D7_1137500/PF3D7_0322900/PF3D7_0903900/PF3D7_1302800/PF3D7_0317600/PF3D7_1349200"
"GO:0009145","GO:0009145","purine nucleoside triphosphate biosynthetic process",24,0.4346558377555,1.54753302187227,0.0315789473684211,0.307029986313301,0.274467430240401,968,"tags=58%, list=29%, signal=41%","PF3D7_1324900/PF3D7_1214900/PF3D7_1015900/PF3D7_1462800/PF3D7_1366500/PF3D7_0922500/PF3D7_1120100/PF3D7_0626800/PF3D7_1436000/PF3D7_1439900/PF3D7_1235700/PF3D7_1444800/PF3D7_0624000/PF3D7_1464700"
"GO:0009201","GO:0009201","ribonucleoside triphosphate biosynthetic process",24,0.4346558377555,1.54753302187227,0.0315789473684211,0.307029986313301,0.274467430240401,968,"tags=58%, list=29%, signal=41%","PF3D7_1324900/PF3D7_1214900/PF3D7_1015900/PF3D7_1462800/PF3D7_1366500/PF3D7_0922500/PF3D7_1120100/PF3D7_0626800/PF3D7_1436000/PF3D7_1439900/PF3D7_1235700/PF3D7_1444800/PF3D7_0624000/PF3D7_1464700"
"GO:0009206","GO:0009206","purine ribonucleoside triphosphate biosynthetic process",24,0.4346558377555,1.54753302187227,0.0315789473684211,0.307029986313301,0.274467430240401,968,"tags=58%, list=29%, signal=41%","PF3D7_1324900/PF3D7_1214900/PF3D7_1015900/PF3D7_1462800/PF3D7_1366500/PF3D7_0922500/PF3D7_1120100/PF3D7_0626800/PF3D7_1436000/PF3D7_1439900/PF3D7_1235700/PF3D7_1444800/PF3D7_0624000/PF3D7_1464700"
"GO:0006518","GO:0006518","peptide metabolic process",223,0.293427805257496,1.62419532894826,0.032258064516129,0.307029986313301,0.274467430240401,620,"tags=34%, list=19%, signal=30%","PF3D7_0312800/PF3D7_1341300/PF3D7_1310900/PF3D7_1428600/PF3D7_0618600/PF3D7_1424100/PF3D7_0219200/PF3D7_1245400/PF3D7_0611700/PF3D7_0306900/PF3D7_0516200/PF3D7_1357200/PF3D7_0307100/PF3D7_1351400/PF3D7_0519400/PF3D7_1034200/PF3D7_1105400/PF3D7_1402500/PF3D7_0602000/PF3D7_0217800/PF3D7_0319600/PF3D7_1331800/PF3D7_0705700/PF3D7_0304400/PF3D7_1242700/PF3D7_0628800/PF3D7_0516900/PF3D7_1426000/PF3D7_1424400/PF3D7_1431700/PF3D7_1019400/PF3D7_0825200/PF3D7_0309600/PF3D7_1126200/PF3D7_1121600/PF3D7_0102900/PF3D7_1460300/PF3D7_1420400/PF3D7_0904400/PF3D7_0813900/PF3D7_1465900/PF3D7_1357000/PF3D7_1026800/PF3D7_1110600/PF3D7_1421200/PF3D7_1350100/PF3D7_1341200/PF3D7_1124900/PF3D7_1132700/PF3D7_1410600/PF3D7_1461900/PF3D7_1121700/PF3D7_1142500/PF3D7_0316800/PF3D7_0706400/PF3D7_1308300/PF3D7_0422400/PF3D7_1408600/PF3D7_0618300/PF3D7_0520000/PF3D7_1461300/PF3D7_1468700/PF3D7_1317800/PF3D7_1441200/PF3D7_0613400/PF3D7_1414300/PF3D7_0422700/PF3D7_0406400/PF3D7_0918300/PF3D7_1004000/PF3D7_1137500/PF3D7_0322900/PF3D7_0903900/PF3D7_1302800/PF3D7_0317600/PF3D7_1349200"
"GO:0043603","GO:0043603","cellular amide metabolic process",233,0.283610525158544,1.59794934598521,0.0333333333333333,0.307029986313301,0.274467430240401,620,"tags=33%, list=19%, signal=29%","PF3D7_0312800/PF3D7_1341300/PF3D7_1310900/PF3D7_1428600/PF3D7_0618600/PF3D7_1424100/PF3D7_0219200/PF3D7_1245400/PF3D7_0611700/PF3D7_0306900/PF3D7_0516200/PF3D7_1357200/PF3D7_0307100/PF3D7_1351400/PF3D7_0519400/PF3D7_1324000/PF3D7_1034200/PF3D7_1105400/PF3D7_1402500/PF3D7_0602000/PF3D7_0217800/PF3D7_0319600/PF3D7_1331800/PF3D7_0705700/PF3D7_0304400/PF3D7_1242700/PF3D7_0628800/PF3D7_0516900/PF3D7_1108500/PF3D7_1426000/PF3D7_1424400/PF3D7_1431700/PF3D7_1019400/PF3D7_0825200/PF3D7_0309600/PF3D7_1126200/PF3D7_1121600/PF3D7_0102900/PF3D7_1460300/PF3D7_1420400/PF3D7_0904400/PF3D7_0813900/PF3D7_1465900/PF3D7_1357000/PF3D7_1026800/PF3D7_1110600/PF3D7_1421200/PF3D7_1350100/PF3D7_1341200/PF3D7_1124900/PF3D7_1132700/PF3D7_1410600/PF3D7_1461900/PF3D7_1121700/PF3D7_1142500/PF3D7_0316800/PF3D7_0706400/PF3D7_1308300/PF3D7_0422400/PF3D7_1408600/PF3D7_0618300/PF3D7_0520000/PF3D7_1461300/PF3D7_1468700/PF3D7_1317800/PF3D7_1441200/PF3D7_0613400/PF3D7_1414300/PF3D7_0422700/PF3D7_0406400/PF3D7_0918300/PF3D7_1004000/PF3D7_1137500/PF3D7_0322900/PF3D7_0903900/PF3D7_1302800/PF3D7_0317600/PF3D7_1349200"
